FirstName                                          LastName                                           JobTitle                                           AverageRate
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ---------------------
Syed                                               Abbas                                              Pacific Sales Manager                              17.7588
Kim                                                Abercrombie                                        Production Technician - WC60                       17.7588
Hazem                                              Abolrous                                           Quality Assurance Manager                          17.7588
Pilar                                              Ackerman                                           Shipping and Receiving Supervisor                  17.7588
Jay                                                Adams                                              Production Technician - WC60                       17.7588
François                                           Ajenstat                                           Database Administrator                             17.7588
Amy                                                Alberts                                            European Sales Manager                             17.7588
Greg                                               Alderson                                           Production Technician - WC45                       17.7588
Sean                                               Alexander                                          Quality Assurance Technician                       17.7588
Gary                                               Altman                                             Facilities Manager                                 17.7588
Nancy                                              Anderson                                           Production Technician - WC60                       17.7588
Pamela                                             Ansman-Wolfe                                       Sales Representative                               17.7588
Zainal                                             Arifin                                             Document Control Manager                           17.7588
Dan                                                Bacon                                              Application Specialist                             17.7588
Bryan                                              Baker                                              Production Technician - WC60                       17.7588
Mary                                               Baker                                              Production Technician - WC10                       17.7588
Angela                                             Barbariol                                          Production Technician - WC50                       17.7588
David                                              Barber                                             Assistant to the Chief Financial Officer           17.7588
Paula                                              Barreto de Mattos                                  Human Resources Manager                            17.7588
Wanida                                             Benshoof                                           Marketing Assistant                                17.7588
Karen                                              Berg                                               Application Specialist                             17.7588
Karen                                              Berge                                              Document Control Assistant                         17.7588
Andreas                                            Berglund                                           Quality Assurance Technician                       17.7588
Matthias                                           Berndt                                             Shipping and Receiving Clerk                       17.7588
Jo                                                 Berry                                              Janitor                                            17.7588
Jimmy                                              Bischoff                                           Stocker                                            17.7588
Michael                                            Blythe                                             Sales Representative                               17.7588
David                                              Bradley                                            Marketing Manager                                  17.7588
David                                              Bradley                                            Marketing Manager                                  17.7588
David                                              Bradley                                            Marketing Manager                                  17.7588
Alan                                               Brewer                                             Scheduling Assistant                               17.7588
Eric                                               Brown                                              Production Technician - WC40                       17.7588
Jo                                                 Brown                                              Production Supervisor - WC60                       17.7588
Kevin                                              Brown                                              Marketing Assistant                                17.7588
Janaina                                            Bueno                                              Application Specialist                             17.7588
David                                              Campbell                                           Sales Representative                               17.7588
John                                               Campbell                                           Production Supervisor - WC60                       17.7588
Jun                                                Cao                                                Production Technician - WC50                       17.7588
Rob                                                Caron                                              Production Technician - WC40                       17.7588
Jillian                                            Carson                                             Sales Representative                               17.7588
Andrew                                             Cencini                                            Production Technician - WC45                       17.7588
Baris                                              Cetinok                                            Production Technician - WC40                       17.7588
Sean                                               Chai                                               Document Control Assistant                         17.7588
Sootha                                             Charncherngkha                                     Quality Assurance Technician                       17.7588
Hao                                                Chen                                               Human Resources Administrative Assistant           17.7588
John                                               Chen                                               Production Technician - WC20                       17.7588
Alice                                              Ciccu                                              Production Technician - WC50                       17.7588
Pat                                                Coleman                                            Janitor                                            17.7588
Peter                                              Connelly                                           Network Administrator                              17.7588
Stephanie                                          Conroy                                             Network Manager                                    17.7588
Patrick                                            Cook                                               Production Technician - WC40                       17.7588
Ryan                                               Cornelsen                                          Production Technician - WC40                       17.7588
Ovidiu                                             Cracium                                            Senior Tool Designer                               17.7588
Jack                                               Creasey                                            Production Technician - WC40                       17.7588
Grant                                              Culbertson                                         Human Resources Administrative Assistant           17.7588
Barbara                                            Decker                                             Production Technician - WC20                       17.7588
Mary                                               Dempsey                                            Marketing Assistant                                17.7588
Thierry                                            D'Hers                                             Tool Designer                                      17.7588
Brenda                                             Diaz                                               Production Supervisor - WC40                       17.7588
JoLynn                                             Dobney                                             Production Supervisor - WC60                       17.7588
Reuben                                             D'sa                                               Production Supervisor - WC40                       17.7588
Ed                                                 Dudenhoefer                                        Production Technician - WC60                       17.7588
Terri                                              Duffy                                              Vice President of Engineering                      17.7588
Maciej                                             Dusza                                              Production Technician - WC60                       17.7588
Shelley                                            Dyck                                               Production Technician - WC20                       17.7588
Terrence                                           Earls                                              Production Technician - WC20                       17.7588
Susan                                              Eaton                                              Stocker                                            17.7588
Ruth                                               Ellerbrock                                         Production Technician - WC10                       17.7588
Terry                                              Eminhizer                                          Marketing Specialist                               17.7588
Michael                                            Entin                                              Production Technician - WC50                       17.7588
Gail                                               Erickson                                           Design Engineer                                    17.7588
Ebru                                               Ersan                                              Production Technician - WC10                       17.7588
Janeth                                             Esteves                                            Production Technician - WC45                       17.7588
John                                               Evans                                              Production Technician - WC50                       17.7588
Fadi                                               Fakhouri                                           Production Technician - WC20                       17.7588
Suroor                                             Fatima                                             Production Technician - WC50                       17.7588
Hanying                                            Feng                                               Production Technician - WC20                       17.7588
Charles                                            Fitzgerald                                         Production Technician - WC60                       17.7588
Kathie                                             Flood                                              Production Technician - WC45                       17.7588
Jeffrey                                            Ford                                               Production Technician - WC10                       17.7588
Mihail                                             Frintu                                             Production Technician - WC40                       17.7588
John                                               Frum                                               Production Technician - WC30                       17.7588
John                                               Frum                                               Production Technician - WC30                       17.7588
John                                               Frum                                               Production Technician - WC30                       17.7588
Janice                                             Galvin                                             Tool Designer                                      17.7588
Mary                                               Gibson                                             Marketing Specialist                               17.7588
Guy                                                Gilbert                                            Production Technician - WC60                       17.7588
Diane                                              Glimp                                              Production Technician - WC10                       17.7588
Scott                                              Gode                                               Production Technician - WC45                       17.7588
