FirstName                                          LastName                                           JobTitle                                           AverageRate           MaximumRate
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- --------------------- ---------------------
Syed                                               Abbas                                              Pacific Sales Manager                              17.7588               125.50
Kim                                                Abercrombie                                        Production Technician - WC60                       17.7588               125.50
Hazem                                              Abolrous                                           Quality Assurance Manager                          17.7588               125.50
Pilar                                              Ackerman                                           Shipping and Receiving Supervisor                  17.7588               125.50
Jay                                                Adams                                              Production Technician - WC60                       17.7588               125.50
François                                           Ajenstat                                           Database Administrator                             17.7588               125.50
Amy                                                Alberts                                            European Sales Manager                             17.7588               125.50
Greg                                               Alderson                                           Production Technician - WC45                       17.7588               125.50
Sean                                               Alexander                                          Quality Assurance Technician                       17.7588               125.50
Gary                                               Altman                                             Facilities Manager                                 17.7588               125.50
Nancy                                              Anderson                                           Production Technician - WC60                       17.7588               125.50
Pamela                                             Ansman-Wolfe                                       Sales Representative                               17.7588               125.50
Zainal                                             Arifin                                             Document Control Manager                           17.7588               125.50
Dan                                                Bacon                                              Application Specialist                             17.7588               125.50
Bryan                                              Baker                                              Production Technician - WC60                       17.7588               125.50
Mary                                               Baker                                              Production Technician - WC10                       17.7588               125.50
Angela                                             Barbariol                                          Production Technician - WC50                       17.7588               125.50
David                                              Barber                                             Assistant to the Chief Financial Officer           17.7588               125.50
Paula                                              Barreto de Mattos                                  Human Resources Manager                            17.7588               125.50
Wanida                                             Benshoof                                           Marketing Assistant                                17.7588               125.50
Karen                                              Berg                                               Application Specialist                             17.7588               125.50
Karen                                              Berge                                              Document Control Assistant                         17.7588               125.50
Andreas                                            Berglund                                           Quality Assurance Technician                       17.7588               125.50
Matthias                                           Berndt                                             Shipping and Receiving Clerk                       17.7588               125.50
Jo                                                 Berry                                              Janitor                                            17.7588               125.50
Jimmy                                              Bischoff                                           Stocker                                            17.7588               125.50
Michael                                            Blythe                                             Sales Representative                               17.7588               125.50
David                                              Bradley                                            Marketing Manager                                  17.7588               125.50
David                                              Bradley                                            Marketing Manager                                  17.7588               125.50
David                                              Bradley                                            Marketing Manager                                  17.7588               125.50
Alan                                               Brewer                                             Scheduling Assistant                               17.7588               125.50
Eric                                               Brown                                              Production Technician - WC40                       17.7588               125.50
Jo                                                 Brown                                              Production Supervisor - WC60                       17.7588               125.50
Kevin                                              Brown                                              Marketing Assistant                                17.7588               125.50
Janaina                                            Bueno                                              Application Specialist                             17.7588               125.50
David                                              Campbell                                           Sales Representative                               17.7588               125.50
John                                               Campbell                                           Production Supervisor - WC60                       17.7588               125.50
Jun                                                Cao                                                Production Technician - WC50                       17.7588               125.50
Rob                                                Caron                                              Production Technician - WC40                       17.7588               125.50
Jillian                                            Carson                                             Sales Representative                               17.7588               125.50
Andrew                                             Cencini                                            Production Technician - WC45                       17.7588               125.50
Baris                                              Cetinok                                            Production Technician - WC40                       17.7588               125.50
Sean                                               Chai                                               Document Control Assistant                         17.7588               125.50
Sootha                                             Charncherngkha                                     Quality Assurance Technician                       17.7588               125.50
Hao                                                Chen                                               Human Resources Administrative Assistant           17.7588               125.50
John                                               Chen                                               Production Technician - WC20                       17.7588               125.50
Alice                                              Ciccu                                              Production Technician - WC50                       17.7588               125.50
Pat                                                Coleman                                            Janitor                                            17.7588               125.50
Peter                                              Connelly                                           Network Administrator                              17.7588               125.50
Stephanie                                          Conroy                                             Network Manager                                    17.7588               125.50
Patrick                                            Cook                                               Production Technician - WC40                       17.7588               125.50
Ryan                                               Cornelsen                                          Production Technician - WC40                       17.7588               125.50
Ovidiu                                             Cracium                                            Senior Tool Designer                               17.7588               125.50
Jack                                               Creasey                                            Production Technician - WC40                       17.7588               125.50
Grant                                              Culbertson                                         Human Resources Administrative Assistant           17.7588               125.50
Barbara                                            Decker                                             Production Technician - WC20                       17.7588               125.50
Mary                                               Dempsey                                            Marketing Assistant                                17.7588               125.50
Thierry                                            D'Hers                                             Tool Designer                                      17.7588               125.50
Brenda                                             Diaz                                               Production Supervisor - WC40                       17.7588               125.50
JoLynn                                             Dobney                                             Production Supervisor - WC60                       17.7588               125.50
Reuben                                             D'sa                                               Production Supervisor - WC40                       17.7588               125.50
Ed                                                 Dudenhoefer                                        Production Technician - WC60                       17.7588               125.50
Terri                                              Duffy                                              Vice President of Engineering                      17.7588               125.50
Maciej                                             Dusza                                              Production Technician - WC60                       17.7588               125.50
Shelley                                            Dyck                                               Production Technician - WC20                       17.7588               125.50
Terrence                                           Earls                                              Production Technician - WC20                       17.7588               125.50
Susan                                              Eaton                                              Stocker                                            17.7588               125.50
Ruth                                               Ellerbrock                                         Production Technician - WC10                       17.7588               125.50
Terry                                              Eminhizer                                          Marketing Specialist                               17.7588               125.50
Michael                                            Entin                                              Production Technician - WC50                       17.7588               125.50
Gail                                               Erickson                                           Design Engineer                                    17.7588               125.50
Ebru                                               Ersan                                              Production Technician - WC10                       17.7588               125.50
Janeth                                             Esteves                                            Production Technician - WC45                       17.7588               125.50
John                                               Evans                                              Production Technician - WC50                       17.7588               125.50
Fadi                                               Fakhouri                                           Production Technician - WC20                       17.7588               125.50
Suroor                                             Fatima                                             Production Technician - WC50                       17.7588               125.50
Hanying                                            Feng                                               Production Technician - WC20                       17.7588               125.50
Charles                                            Fitzgerald                                         Production Technician - WC60                       17.7588               125.50
Kathie                                             Flood                                              Production Technician - WC45                       17.7588               125.50
Jeffrey                                            Ford                                               Production Technician - WC10                       17.7588               125.50
Mihail                                             Frintu                                             Production Technician - WC40                       17.7588               125.50
John                                               Frum                                               Production Technician - WC30                       17.7588               125.50
John                                               Frum                                               Production Technician - WC30                       17.7588               125.50
John                                               Frum                                               Production Technician - WC30                       17.7588               125.50
Janice                                             Galvin                                             Tool Designer                                      17.7588               125.50
Mary                                               Gibson                                             Marketing Specialist                               17.7588               125.50
Guy                                                Gilbert                                            Production Technician - WC60                       17.7588               125.50
Diane                                              Glimp                                              Production Technician - WC10                       17.7588               125.50
Scott                                              Gode                                               Production Technician - WC45                       17.7588               125.50
Jossef                                             Goldberg                                           Design Engineer                                    17.7588               125.50
Brian                                              Goldstein                                          Production Technician - WC40                       17.7588               125.50
Eric                                               Gubbels                                            Production Supervisor - WC20                       17.7588               125.50
Erin                                               Hagens                                             Buyer                                              17.7588               125.50
Don                                                Hall                                               Production Technician - WC50                       17.7588               125.50
David                                              Hamilton                                           Production Supervisor - WC40                       17.7588               125.50
James                                              Hamilton                                           Vice President of Production                       17.7588               125.50
Sariya                                             Harnpadoungsataya                                  Marketing Specialist                               17.7588               125.50
Mark                                               Harrington                                         Quality Assurance Technician                       17.7588               125.50
Doris                                              Hartwig                                            Production Technician - WC10                       17.7588               125.50
Jeff                                               Hay                                                Production Supervisor - WC45                       17.7588               125.50
Magnus                                             Hedlund                                            Facilities Administrative Assistant                17.7588               125.50
Gordon                                             Hee                                                Buyer                                              17.7588               125.50
Brandon                                            Heidepriem                                         Production Technician - WC60                       17.7588               125.50
Stefen                                             Hesse                                              Production Technician - WC20                       17.7588               125.50
Sidney                                             Higa                                               Production Technician - WC10                       17.7588               125.50
Andrew                                             Hill                                               Production Supervisor - WC10                       17.7588               125.50
Annette                                            Hill                                               Purchasing Assistant                               17.7588               125.50
Christopher                                        Hill                                               Production Technician - WC10                       17.7588               125.50
Reinout                                            Hillmann                                           Purchasing Assistant                               17.7588               125.50
Michael                                            Hines                                              Production Technician - WC20                       17.7588               125.50
Douglas                                            Hite                                               Production Technician - WC45                       17.7588               125.50
Bob                                                Hohman                                             Production Technician - WC50                       17.7588               125.50
Nicole                                             Holliday                                           Production Technician - WC40                       17.7588               125.50
Kevin                                              Homer                                              Production Technician - WC10                       17.7588               125.50
Russell                                            Hunter                                             Production Technician - WC50                       17.7588               125.50
Marc                                               Ingle                                              Production Technician - WC30                       17.7588               125.50
Marc                                               Ingle                                              Production Technician - WC30                       17.7588               125.50
Marc                                               Ingle                                              Production Technician - WC30                       17.7588               125.50
Shu                                                Ito                                                Sales Representative                               17.7588               125.50
Stephen                                            Jiang                                              North American Sales Manager                       17.7588               125.50
Barry                                              Johnson                                            Production Technician - WC10                       17.7588               125.50
David                                              Johnson                                            Production Technician - WC30                       17.7588               125.50
David                                              Johnson                                            Production Technician - WC30                       17.7588               125.50
David                                              Johnson                                            Production Technician - WC30                       17.7588               125.50
Willis                                             Johnson                                            Recruiter                                          17.7588               125.50
Wendy                                              Kahn                                               Finance Manager                                    17.7588               125.50
Sandeep                                            Kaliyath                                           Production Technician - WC40                       17.7588               125.50
John                                               Kane                                               Production Technician - WC10                       17.7588               125.50
Lori                                               Kane                                               Production Supervisor - WC45                       17.7588               125.50
Bonnie                                             Kearney                                            Production Technician - WC10                       17.7588               125.50
Kendall                                            Keil                                               Production Technician - WC50                       17.7588               125.50
Elizabeth                                          Keyser                                             Production Technician - WC50                       17.7588               125.50
Karan                                              Khanna                                             Production Technician - WC60                       17.7588               125.50
Tengiz                                             Kharatishvili                                      Control Specialist                                 17.7588               125.50
Shane                                              Kim                                                Production Supervisor - WC45                       17.7588               125.50
