FirstName                                          LastName                                           JobTitle                                           AverageRate           MaximumRate           DiffFromAvgRate
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- --------------------- --------------------- ---------------------
Syed                                               Abbas                                              Pacific Sales Manager                              17.7588               125.50                30.3422
Kim                                                Abercrombie                                        Production Technician - WC60                       17.7588               125.50                -5.3088
Hazem                                              Abolrous                                           Quality Assurance Manager                          17.7588               125.50                11.0874
Pilar                                              Ackerman                                           Shipping and Receiving Supervisor                  17.7588               125.50                1.472
Jay                                                Adams                                              Production Technician - WC60                       17.7588               125.50                -5.3088
François                                           Ajenstat                                           Database Administrator                             17.7588               125.50                20.7027
Amy                                                Alberts                                            European Sales Manager                             17.7588               125.50                30.3422
Greg                                               Alderson                                           Production Technician - WC45                       17.7588               125.50                -7.7588
Sean                                               Alexander                                          Quality Assurance Technician                       17.7588               125.50                -7.1819
Gary                                               Altman                                             Facilities Manager                                 17.7588               125.50                6.2797
Nancy                                              Anderson                                           Production Technician - WC60                       17.7588               125.50                -5.3088
Pamela                                             Ansman-Wolfe                                       Sales Representative                               17.7588               125.50                5.3181
Zainal                                             Arifin                                             Document Control Manager                           17.7588               125.50                0.0297
Dan                                                Bacon                                              Application Specialist                             17.7588               125.50                9.645
Bryan                                              Baker                                              Production Technician - WC60                       17.7588               125.50                -5.3088
Mary                                               Baker                                              Production Technician - WC10                       17.7588               125.50                -4.3088
Angela                                             Barbariol                                          Production Technician - WC50                       17.7588               125.50                -6.7588
David                                              Barber                                             Assistant to the Chief Financial Officer           17.7588               125.50                -4.2973
Paula                                              Barreto de Mattos                                  Human Resources Manager                            17.7588               125.50                9.3806
Wanida                                             Benshoof                                           Marketing Assistant                                17.7588               125.50                -4.2973
Karen                                              Berg                                               Application Specialist                             17.7588               125.50                9.645
Karen                                              Berge                                              Document Control Assistant                         17.7588               125.50                -7.5088
Andreas                                            Berglund                                           Quality Assurance Technician                       17.7588               125.50                -7.1819
Matthias                                           Berndt                                             Shipping and Receiving Clerk                       17.7588               125.50                -8.2588
Jo                                                 Berry                                              Janitor                                            17.7588               125.50                -8.5088
Jimmy                                              Bischoff                                           Stocker                                            17.7588               125.50                -8.7588
Michael                                            Blythe                                             Sales Representative                               17.7588               125.50                5.3181
David                                              Bradley                                            Marketing Manager                                  17.7588               125.50                6.2412
David                                              Bradley                                            Marketing Manager                                  17.7588               125.50                10.9912
David                                              Bradley                                            Marketing Manager                                  17.7588               125.50                19.7412
Alan                                               Brewer                                             Scheduling Assistant                               17.7588               125.50                -1.7588
Eric                                               Brown                                              Production Technician - WC40                       17.7588               125.50                -2.7588
Jo                                                 Brown                                              Production Supervisor - WC60                       17.7588               125.50                7.2412
Kevin                                              Brown                                              Marketing Assistant                                17.7588               125.50                -4.2973
Janaina                                            Bueno                                              Application Specialist                             17.7588               125.50                9.645
David                                              Campbell                                           Sales Representative                               17.7588               125.50                5.3181
John                                               Campbell                                           Production Supervisor - WC60                       17.7588               125.50                7.2412
Jun                                                Cao                                                Production Technician - WC50                       17.7588               125.50                -6.7588
Rob                                                Caron                                              Production Technician - WC40                       17.7588               125.50                -2.7588
Jillian                                            Carson                                             Sales Representative                               17.7588               125.50                5.3181
Andrew                                             Cencini                                            Production Technician - WC45                       17.7588               125.50                -7.7588
Baris                                              Cetinok                                            Production Technician - WC40                       17.7588               125.50                -2.7588
Sean                                               Chai                                               Document Control Assistant                         17.7588               125.50                -7.5088
Sootha                                             Charncherngkha                                     Quality Assurance Technician                       17.7588               125.50                -7.1819
Hao                                                Chen                                               Human Resources Administrative Assistant           17.7588               125.50                -3.8165
John                                               Chen                                               Production Technician - WC20                       17.7588               125.50                -3.7588
Alice                                              Ciccu                                              Production Technician - WC50                       17.7588               125.50                -6.7588
Pat                                                Coleman                                            Janitor                                            17.7588               125.50                -8.5088
Peter                                              Connelly                                           Network Administrator                              17.7588               125.50                14.6931
Stephanie                                          Conroy                                             Network Manager                                    17.7588               125.50                21.9047
Patrick                                            Cook                                               Production Technician - WC40                       17.7588               125.50                -2.7588
Ryan                                               Cornelsen                                          Production Technician - WC40                       17.7588               125.50                -2.7588
Ovidiu                                             Cracium                                            Senior Tool Designer                               17.7588               125.50                11.0874
Jack                                               Creasey                                            Production Technician - WC40                       17.7588               125.50                -2.7588
Grant                                              Culbertson                                         Human Resources Administrative Assistant           17.7588               125.50                -3.8165
Barbara                                            Decker                                             Production Technician - WC20                       17.7588               125.50                -3.7588
Mary                                               Dempsey                                            Marketing Assistant                                17.7588               125.50                -4.2973
Thierry                                            D'Hers                                             Tool Designer                                      17.7588               125.50                7.2412
Brenda                                             Diaz                                               Production Supervisor - WC40                       17.7588               125.50                7.2412
JoLynn                                             Dobney                                             Production Supervisor - WC60                       17.7588               125.50                7.2412
Reuben                                             D'sa                                               Production Supervisor - WC40                       17.7588               125.50                7.2412
Ed                                                 Dudenhoefer                                        Production Technician - WC60                       17.7588               125.50                -5.3088
Terri                                              Duffy                                              Vice President of Engineering                      17.7588               125.50                45.7027
Maciej                                             Dusza                                              Production Technician - WC60                       17.7588               125.50                -5.3088
Shelley                                            Dyck                                               Production Technician - WC20                       17.7588               125.50                -3.7588
Terrence                                           Earls                                              Production Technician - WC20                       17.7588               125.50                -3.7588
Susan                                              Eaton                                              Stocker                                            17.7588               125.50                -8.7588
Ruth                                               Ellerbrock                                         Production Technician - WC10                       17.7588               125.50                -4.3088
Terry                                              Eminhizer                                          Marketing Specialist                               17.7588               125.50                -3.3357
Michael                                            Entin                                              Production Technician - WC50                       17.7588               125.50                -6.7588
Gail                                               Erickson                                           Design Engineer                                    17.7588               125.50                14.9335
Ebru                                               Ersan                                              Production Technician - WC10                       17.7588               125.50                -4.3088
Janeth                                             Esteves                                            Production Technician - WC45                       17.7588               125.50                -7.7588
John                                               Evans                                              Production Technician - WC50                       17.7588               125.50                -6.7588
Fadi                                               Fakhouri                                           Production Technician - WC20                       17.7588               125.50                -3.7588
Suroor                                             Fatima                                             Production Technician - WC50                       17.7588               125.50                -6.7588
Hanying                                            Feng                                               Production Technician - WC20                       17.7588               125.50                -3.7588
Charles                                            Fitzgerald                                         Production Technician - WC60                       17.7588               125.50                -5.3088
Kathie                                             Flood                                              Production Technician - WC45                       17.7588               125.50                -7.7588
Jeffrey                                            Ford                                               Production Technician - WC10                       17.7588               125.50                -4.3088
Mihail                                             Frintu                                             Production Technician - WC40                       17.7588               125.50                -2.7588
John                                               Frum                                               Production Technician - WC30                       17.7588               125.50                -11.2588
John                                               Frum                                               Production Technician - WC30                       17.7588               125.50                -10.7588
